tx_price,beds,baths,sqft,lot_size,beauty_spas,college_grad,insurance,age_of_property,year_flag
305000,2,1,1288,0,46,57,71,25,0
337600,2,1,1296,3001,23,36,86,51,0
248000,2,1,1344,1102,145,81,158,114,0
336900,2,1,1346,0,21,86,66,21,1
225000,2,1,1350,1245,146,81,171,46,0
585000,2,1,1360,0,75,83,155,30,0
205000,2,1,1526,2478,5,73,68,8,0
330000,2,2,832,1136,41,53,123,66,0
250000,2,2,864,1633,36,32,124,66,1
200000,2,2,877,0,73,91,131,12,0
286499,2,2,886,0,9,59,59,24,0
237500,2,2,886,0,9,59,60,32,0
261000,2,2,896,3598,21,41,93,58,0
277000,2,2,899,0,37,67,82,9,0
425000,2,2,910,6023,42,81,162,58,1
385000,2,2,915,183387,49,41,92,1,0
275000,2,2,930,1625,23,73,87,25,1
275000,2,2,933,0,41,51,56,15,0
201953,2,2,940,0,47,33,38,30,0
307500,2,2,940,0,26,80,47,17,0
551400,2,2,949,0,72,75,154,0,1
435000,2,2,950,46609,74,82,128,5,0
230000,2,2,951,0,30,55,63,24,0
367000,2,2,951,0,55,92,115,9,0
509500,2,2,954,0,73,91,132,4,0
275000,2,2,959,0,37,84,69,1,0
279537,2,2,969,0,66,92,85,14,0
499900,2,2,970,33541,72,91,124,5,0
315000,2,2,980,1206,13,84,90,23,0
299900,2,2,980,1104,13,84,83,21,0
320000,2,2,984,3598,54,63,85,67,0
279000,2,2,986,0,14,41,54,34,0
386500,2,2,992,0,48,90,109,67,0
270000,2,2,998,0,29,80,62,16,0
440000,2,2,1000,0,29,83,120,71,0
475000,2,2,1000,0,61,94,131,15,0
278000,2,2,1002,0,25,86,86,2,1
443000,2,2,1005,0,60,94,131,24,0
290000,2,2,1012,0,12,74,74,18,0
458900,2,2,1025,0,47,99,114,0,0
615000,2,2,1027,0,72,82,157,7,0
225000,2,2,1038,0,50,36,56,17,1
525000,2,2,1040,1341,172,55,153,85,0
315000,2,2,1040,0,41,51,59,16,0
490000,2,2,1041,0,36,88,127,6,0
243000,2,2,1044,0,51,25,59,43,1
250000,2,2,1044,0,7,62,62,21,1
289500,2,2,1045,0,13,83,77,16,0
249950,2,2,1048,0,50,75,55,4,0
250000,2,2,1050,0,14,83,74,18,0
345000,2,2,1053,0,10,74,74,12,0
351500,2,2,1056,0,29,70,98,7,0
478089,2,2,1069,0,37,82,92,18,0
349181,2,2,1070,0,36,56,62,17,0
300000,2,2,1074,0,37,82,92,21,1
218000,2,2,1075,0,1,77,58,27,0
416900,2,2,1075,0,47,99,113,1,0
335000,2,2,1077,0,75,72,84,27,1
225000,2,2,1080,1951,35,59,73,26,0
316500,2,2,1082,0,58,63,86,17,0
535150,2,2,1084,0,75,67,149,0,1
405000,2,2,1086,0,30,70,103,11,0
620000,2,2,1088,0,76,88,182,1,1
545000,2,2,1095,0,48,86,150,20,0
342500,2,2,1098,1314,47,74,80,18,0
209000,2,2,1100,0,20,55,57,17,0
243000,2,2,1100,0,21,55,62,10,1
254000,2,2,1102,1307,40,45,74,26,0
240000,2,2,1104,0,42,62,73,6,0
265000,2,2,1107,0,18,32,78,22,0
240000,2,2,1108,0,15,41,99,17,0
250000,2,2,1112,0,28,75,69,36,0
534625,2,2,1112,0,93,96,231,0,0
313500,2,2,1120,0,21,55,62,9,0
469900,2,2,1123,0,36,88,122,8,0
610000,2,2,1128,0,72,91,158,7,0
285000,2,2,1130,0,18,84,77,24,0
296000,2,2,1130,0,31,63,78,21,0
293815,2,2,1130,0,32,63,75,17,0
290000,2,2,1132,0,113,72,102,37,0
278000,2,2,1134,1511,11,67,83,27,0
380000,2,2,1135,0,33,81,92,5,0
367500,2,2,1135,0,32,81,100,6,0
325000,2,2,1139,0,31,85,99,23,1
280000,2,2,1141,0,85,78,99,28,0
289900,2,2,1145,0,36,70,74,1,0
290000,2,2,1148,0,26,84,81,5,0
306755,2,2,1149,0,39,83,97,6,0
295000,2,2,1150,0,42,75,73,30,0
338000,2,2,1150,0,33,72,79,3,1
305000,2,2,1152,0,11,83,81,18,0
342900,2,2,1152,0,33,72,81,1,0
410000,2,2,1153,0,55,92,122,12,0
377400,2,2,1155,0,17,35,93,1,0
394000,2,2,1158,0,48,63,114,6,0
370000,2,2,1161,0,36,67,112,7,0
326979,2,2,1163,0,33,72,77,6,0
285000,2,2,1166,0,26,69,61,40,0
245000,2,2,1170,0,49,53,64,25,0
315000,2,2,1170,0,27,72,72,7,0
255000,2,2,1170,0,26,72,76,12,0
221500,2,2,1178,0,164,42,159,14,0
275250,2,2,1181,0,42,76,82,0,0
335000,2,2,1184,1167,43,74,71,17,0
535000,2,2,1184,0,72,91,157,6,0
209480,2,2,1188,0,19,95,92,0,0
245000,2,2,1195,0,50,66,77,30,0
400000,2,2,1200,5000,37,50,157,72,0
550000,2,2,1200,2744,139,90,167,73,0
399500,2,2,1200,0,30,93,107,58,0
242000,2,2,1200,1420,51,63,78,25,0
385000,2,2,1201,96703,53,71,118,3,0
229500,2,2,1202,0,70,83,99,37,0
387000,2,2,1204,0,31,77,115,17,0
295000,2,2,1205,0,32,38,66,18,0
460000,2,2,1205,9686,49,94,123,5,0
450000,2,2,1206,0,63,99,134,21,0
346631,2,2,1215,0,60,88,125,2,0
380000,2,2,1217,0,48,63,134,6,0
279000,2,2,1218,0,19,95,99,2,0
250000,2,2,1220,0,12,58,58,10,0
203255,2,2,1224,1192,5,56,112,0,0
295990,2,2,1230,0,11,64,77,7,0
526275,2,2,1242,0,72,91,154,2,1
295000,2,2,1242,0,48,63,106,4,0
230000,2,2,1244,0,21,55,61,13,0
617000,2,2,1248,0,72,82,187,2,0
485000,2,2,1252,0,37,72,152,1,1
345000,2,2,1254,0,49,83,74,8,0
257000,2,2,1256,0,15,76,82,23,0
299000,2,2,1263,0,46,70,80,15,0
320000,2,2,1270,0,13,83,82,14,0
319990,2,2,1288,0,33,74,91,20,0
278000,2,2,1293,0,49,53,79,20,0
381000,2,2,1294,0,78,69,82,10,0
442000,2,2,1305,0,48,86,142,24,0
653000,2,2,1305,0,93,96,187,7,0
550000,2,2,1309,759,114,93,159,24,0
225000,2,2,1316,0,45,54,79,39,0
525000,2,2,1320,0,74,91,143,32,0
289000,2,2,1343,0,49,53,82,32,0
371000,2,2,1346,0,37,50,112,5,0
330000,2,2,1350,2326,23,73,83,20,0
267000,2,2,1360,0,8,56,72,43,0
250000,2,2,1360,1500,3,56,82,28,0
578324,2,2,1376,0,37,72,159,0,0
385000,2,2,1383,0,44,87,108,68,0
210835,2,2,1388,0,40,90,120,1,0
274500,2,2,1389,0,47,57,73,33,0
254900,2,2,1392,0,13,67,67,23,0
275000,2,2,1400,2945,126,70,149,66,0
290000,2,2,1413,0,46,57,71,24,0
505000,2,2,1420,0,48,86,174,16,0
299000,2,2,1439,0,49,53,82,31,0
271000,2,2,1470,0,21,86,75,26,0
490000,2,2,1471,0,169,74,154,12,0
325000,2,2,1474,2278,1,58,88,26,0
412000,2,2,1476,1335,18,73,118,12,0
329900,2,2,1477,3049,24,59,85,3,0
215000,2,2,1496,2387,22,28,71,41,0
589000,2,2,1516,0,61,79,132,24,0
405490,2,2,1522,0,25,65,96,9,1
475000,2,2,1526,0,30,73,124,23,0
375000,2,2,1530,0,62,83,124,27,0
455000,2,2,1530,0,30,82,114,6,0
429900,2,2,1623,0,33,77,128,33,0
465000,2,2,1638,1875,5,84,118,18,0
471850,2,2,1640,0,20,65,97,7,0
337980,2,2,1641,0,48,67,176,0,0
625000,2,2,1649,6390,43,75,174,67,0
395000,2,2,1750,2217,21,46,122,9,0
575000,2,2,1825,0,56,71,184,6,0
289000,2,2,1870,5601,5,39,87,10,0
740000,2,2,2100,0,61,79,249,28,0
540000,2,2,2310,3062,175,79,158,56,0
225000,2,2,2512,2783,14,52,135,4,0
330000,2,3,1200,1350,2,65,82,21,1
302000,2,3,1260,2280,1,58,86,26,0
557000,2,3,1296,0,36,90,153,16,1
408000,2,3,1314,1440,19,80,83,19,0
495000,2,3,1600,1165,172,86,166,89,0
416000,2,3,1667,0,15,76,103,18,0
538000,2,3,1820,784,177,78,154,28,0
335000,2,3,1853,1000,139,91,237,18,0
395000,2,3,1925,2219,21,46,119,9,0
299940,2,3,1942,0,13,44,65,0,1
300000,2,3,2067,1260,13,72,106,23,0
399500,2,3,2180,0,39,82,107,35,0
300000,2,4,1377,1200,9,48,99,29,0
370000,3,1,874,11325,31,76,104,94,0
200000,3,1,876,9047,17,25,87,65,0
455000,3,1,884,10001,58,45,119,53,0
285000,3,1,943,0,10,73,68,59,0
433150,3,1,948,7254,15,42,87,54,0
225000,3,1,1008,7274,19,19,65,59,0
297000,3,1,1024,1245,35,47,92,62,0
209400,3,1,1120,3994,18,22,78,36,0
306000,3,1,1140,1306,40,45,68,22,0
375000,3,1,1204,11325,3,43,103,59,0
397555,3,1,1210,1398,20,63,93,28,0
325000,3,1,1211,16117,52,40,102,57,0
375000,3,1,1220,1260,9,81,93,25,0
523000,3,1,1220,2325,29,54,68,29,0
274500,3,1,1224,3600,52,63,92,63,0
368000,3,1,1260,10267,2,70,120,64,0
330000,3,1,1280,1420,15,41,72,35,0
300000,3,1,1280,1375,56,63,83,26,0
275000,3,1,1280,1598,33,42,47,21,0
340000,3,1,1280,1398,50,63,83,20,0
497650,3,1,1286,8276,30,80,187,57,0
490000,3,1,1301,51400,38,78,167,66,0
295000,3,1,1302,0,42,36,54,33,0
650000,3,1,1309,7540,21,81,177,60,0
580000,3,1,1323,3674,41,53,174,90,0
330000,3,1,1368,1340,11,50,88,19,0
299990,3,1,1382,1995,15,31,73,22,1
389900,3,1,1404,11761,1,44,106,57,0
430000,3,1,1506,1746,4,85,123,23,0
482413,3,1,1520,1400,51,65,114,10,0
325000,3,1,1568,14810,21,69,84,51,0
500000,3,1,1618,12196,41,82,123,49,1
656500,3,1,1846,6255,32,85,181,53,1
296000,3,1,1860,1977,49,83,131,5,0
399000,3,1,1928,12632,34,17,107,60,0
200000,3,1,2175,9500,48,80,224,55,0
225870,3,1,2622,3010,14,73,143,0,0
359000,3,2,816,3600,29,38,107,64,0
349900,3,2,816,3484,48,38,112,58,1
255000,3,2,879,9999,19,61,99,59,0
255000,3,2,884,3140,52,34,109,48,0
232500,3,2,890,25264,11,47,66,53,1
405000,3,2,922,0,48,87,107,70,0
429900,3,2,966,5647,2,63,104,25,0
249600,3,2,969,1281,11,36,52,17,0
299000,3,2,972,21780,31,25,102,47,0
246700,3,2,997,1119,12,47,74,28,0
360000,3,2,1009,8925,57,42,107,53,0
349900,3,2,1036,3598,28,26,85,53,1
280000,3,2,1040,14810,22,5,59,-8,0
350000,3,2,1060,1341,17,52,94,31,0
339500,3,2,1064,0,26,80,55,18,0
320000,3,2,1084,0,98,67,83,38,0
299000,3,2,1092,10545,15,36,105,52,0
305000,3,2,1092,10724,6,56,97,50,1
325900,3,2,1100,915,8,81,87,28,0
310000,3,2,1102,2016,35,83,134,48,0
358000,3,2,1104,1050,13,84,98,23,0
200750,3,2,1131,0,65,57,76,31,1
257600,3,2,1144,1502,13,60,78,31,0
258000,3,2,1178,1398,0,66,89,32,0
415000,3,2,1200,5227,17,61,112,65,0
339000,3,2,1200,8745,40,36,109,56,0
249000,3,2,1200,9069,40,36,112,48,0
500000,3,2,1208,11761,4,69,107,33,0
345000,3,2,1211,10781,40,40,121,58,0
285000,3,2,1220,2448,2,44,84,26,1
439900,3,2,1220,2178,18,72,109,23,0
428000,3,2,1220,1519,21,86,111,30,0
417000,3,2,1220,1520,21,86,112,30,0
410000,3,2,1220,1981,51,63,99,21,0
525000,3,2,1224,7000,13,73,131,63,0
392000,3,2,1225,16117,74,42,118,59,0
252500,3,2,1228,2012,35,26,59,17,0
375000,3,2,1232,2639,3,47,77,32,0
375000,3,2,1232,1540,5,73,96,26,0
378000,3,2,1240,1306,51,34,102,27,0
485000,3,2,1254,10737,0,62,139,61,0
445900,3,2,1258,0,29,70,121,6,0
335000,3,2,1260,3598,25,38,114,61,0
271000,3,2,1260,27007,0,47,86,51,0
399900,3,2,1267,10519,11,47,124,56,0
275000,3,2,1276,11761,5,40,103,55,0
333000,3,2,1280,1999,16,64,94,29,1
324000,3,2,1280,1441,5,60,92,26,0
440000,3,2,1285,11761,4,44,121,50,0
575000,3,2,1287,14374,17,77,161,71,0
275000,3,2,1296,15681,23,30,82,46,0
425000,3,2,1304,8616,16,76,116,36,0
295000,3,2,1304,1446,49,31,74,25,0
319900,3,2,1320,1400,5,77,90,33,0
340000,3,2,1320,1400,8,77,89,40,0
258000,3,2,1320,1650,27,29,42,22,0
370000,3,2,1320,1599,52,26,68,9,0
700000,3,2,1325,7000,12,73,167,66,0
200000,3,2,1330,0,19,77,64,38,0
242990,3,2,1330,0,13,44,65,0,0
320000,3,2,1331,19166,51,55,104,46,0
250000,3,2,1332,0,35,62,78,8,0
211500,3,2,1338,0,34,66,56,45,0
350000,3,2,1340,10497,12,49,118,40,0
209900,3,2,1342,2748,18,54,57,44,0
390000,3,2,1342,1540,10,71,105,28,0
416000,3,2,1344,12632,3,29,81,22,0
245000,3,2,1348,1599,24,51,71,23,0
236000,3,2,1348,1629,0,47,81,2,1
238500,3,2,1350,2757,2,66,99,33,0
440000,3,2,1352,22215,0,53,124,37,0
250000,3,2,1360,1498,3,56,85,28,0
239900,3,2,1360,1559,39,24,70,16,0
325000,3,2,1362,0,10,63,75,44,1
293000,3,2,1370,2308,50,31,78,30,0
459000,3,2,1370,1778,18,84,109,13,0
297000,3,2,1374,1528,40,51,94,15,0
249000,3,2,1375,1499,24,81,109,7,0
455900,3,2,1380,1660,34,54,107,23,0
375490,3,2,1380,0,11,64,84,7,0
375000,3,2,1400,7013,44,46,134,75,0
271000,3,2,1400,0,38,56,58,33,0
350000,3,2,1400,1400,7,71,100,38,0
399000,3,2,1404,10001,0,62,132,58,0
290000,3,2,1404,9003,54,46,115,51,0
331000,3,2,1408,1542,31,41,55,39,0
462330,3,2,1418,0,19,54,139,0,0
317500,3,2,1421,0,16,41,102,18,0
209900,3,2,1440,12632,2,35,81,52,0
299900,3,2,1440,1444,48,53,90,20,1
347644,3,2,1442,1743,58,44,97,42,0
385000,3,2,1446,0,49,42,96,46,0
330000,3,2,1452,0,14,58,74,39,1
360000,3,2,1452,1760,3,56,91,33,1
455000,3,2,1452,1540,5,71,118,34,0
324000,3,2,1452,2535,15,62,99,23,0
400000,3,2,1456,1500,3,67,106,21,0
262000,3,2,1459,52707,0,41,87,37,0
475000,3,2,1468,10175,19,20,142,61,0
420000,3,2,1475,9334,38,40,153,60,0
467000,3,2,1483,0,65,88,137,7,0
440000,3,2,1484,1825,13,72,93,19,0
309900,3,2,1496,2378,0,54,98,32,0
444000,3,2,1496,1542,15,53,90,24,0
345000,3,2,1501,1542,15,53,99,27,1
400000,3,2,1503,10254,22,36,112,60,0
223500,3,2,1506,0,54,42,84,28,0
341500,3,2,1508,9827,10,41,124,56,0
306000,3,2,1510,0,54,42,83,38,0
438950,3,2,1512,2613,21,70,117,29,0
340000,3,2,1514,0,40,76,87,11,1
260000,3,2,1518,0,9,37,78,19,0
415000,3,2,1522,1760,0,62,107,25,0
345000,3,2,1524,0,18,61,96,6,0
320000,3,2,1532,1812,11,64,109,36,0
399900,3,2,1534,10023,20,41,124,50,0
310000,3,2,1541,87991,0,35,87,35,0
415000,3,2,1544,1964,40,55,131,15,0
385000,3,2,1546,1600,12,64,109,16,0
325000,3,2,1548,16988,24,63,132,57,1
245000,3,2,1550,13939,60,77,184,63,0
324999,3,2,1554,3767,22,41,86,60,0
469335,3,2,1556,1742,95,76,159,18,0
607000,3,2,1560,20908,4,73,171,57,1
460000,3,2,1564,9282,3,72,121,28,0
381000,3,2,1574,0,96,63,110,20,0
305000,3,2,1575,1759,18,42,64,24,1
272500,3,2,1582,10890,1,80,133,44,0
395000,3,2,1586,13068,14,70,129,41,0
300000,3,2,1593,0,31,74,93,18,0
243000,3,2,1594,1594,35,38,125,0,0
449835,3,2,1600,2561,37,69,104,14,1
214000,3,2,1600,1846,23,72,129,1,0
290889,3,2,1600,1720,0,47,83,0,0
212000,3,2,1614,7013,2,17,72,49,0
384900,3,2,1614,2688,44,24,73,13,0
428002,3,2,1620,0,18,21,98,0,0
540000,3,2,1621,1120,4,71,104,0,0
422000,3,2,1624,1057,13,72,114,9,0
218000,3,2,1625,1595,11,54,93,29,0
499900,3,2,1636,2178,35,53,156,5,0
365000,3,2,1638,0,49,53,99,26,0
347903,3,2,1640,1400,26,57,97,0,0
297000,3,2,1650,10800,6,45,107,54,0
600000,3,2,1654,8102,26,37,158,67,1
450000,3,2,1661,1575,24,81,124,28,1
395000,3,2,1661,3057,4,73,103,26,0
550000,3,2,1672,1734,30,71,165,24,1
255000,3,2,1672,1803,0,47,85,6,0
407200,3,2,1674,1842,13,58,99,12,0
485000,3,2,1682,9456,19,61,127,48,0
395000,3,2,1682,1808,0,47,82,1,0
389990,3,2,1686,2047,18,41,81,0,0
489000,3,2,1691,13939,9,64,129,26,0
247640,3,2,1692,1598,18,65,132,0,0
525000,3,2,1695,0,49,66,107,24,0
525000,3,2,1696,5675,51,93,163,71,0
271900,3,2,1705,0,47,57,88,29,1
679370,3,2,1706,1173,19,54,181,0,0
360000,3,2,1708,1899,14,72,114,6,0
600000,3,2,1710,0,74,91,218,32,0
215570,3,2,1722,1977,20,72,122,23,0
450000,3,2,1725,2108,4,87,137,12,1
342500,3,2,1729,15681,49,55,97,48,0
566700,3,2,1734,5519,36,77,174,86,0
430000,3,2,1750,1746,4,85,123,23,0
319500,3,2,1752,1981,20,52,112,6,0
335655,3,2,1760,1790,12,57,85,1,0
539900,3,2,1768,2545,35,54,139,6,0
529600,3,2,1770,23086,17,60,119,47,0
446151,3,2,1778,1711,35,66,142,17,0
457091,3,2,1786,9270,83,56,117,66,0
429000,3,2,1787,2143,13,80,119,19,0
214900,3,2,1793,55756,1,61,94,16,0
203000,3,2,1800,6943,32,84,195,49,0
346000,3,2,1800,11325,9,75,99,39,0
630000,3,2,1806,20037,4,62,181,47,0
321610,3,2,1806,1372,8,65,107,0,0
340000,3,2,1814,2570,3,45,71,8,1
262000,3,2,1828,17424,2,61,83,26,0
365000,3,2,1833,2143,9,51,97,29,1
291000,3,2,1836,2278,0,47,82,7,0
345000,3,2,1842,0,45,54,99,31,0
293000,3,2,1854,9565,39,36,92,49,0
247000,3,2,1857,2622,20,47,78,7,0
382921,3,2,1858,2242,12,70,143,0,0
643000,3,2,1862,5344,18,78,191,72,0
309000,3,2,1866,10654,24,52,119,55,1
446000,3,2,1875,1540,25,74,122,32,0
420000,3,2,1878,2178,4,87,132,12,1
370000,3,2,1884,1821,19,72,124,4,0
385000,3,2,1885,0,127,80,195,3,0
450000,3,2,1900,1140,26,89,129,12,0
279900,3,2,1910,1986,8,63,114,13,0
339900,3,2,1918,3057,4,73,107,15,0
675000,3,2,1920,3049,21,86,168,13,0
471500,3,2,1934,1556,31,75,129,24,0
565000,3,2,1936,6098,25,56,161,62,0
400000,3,2,1940,14374,82,90,237,49,0
445000,3,2,1950,9465,22,57,125,65,0
526000,3,2,1984,2141,49,76,147,10,0
350000,3,2,1988,11325,5,34,102,58,0
400000,3,2,2008,2040,16,59,129,3,1
667000,3,2,2014,6272,33,45,179,58,1
489000,3,2,2016,6098,24,81,212,28,0
400000,3,2,2017,2561,13,80,115,11,0
753000,3,2,2030,7000,9,81,224,60,1
548000,3,2,2036,2000,33,55,166,10,0
310000,3,2,2038,43995,0,49,100,36,0
395000,3,2,2051,7326,18,57,78,22,0
482500,3,2,2062,1329,13,72,124,15,0
270000,3,2,2079,0,47,57,84,35,0
545000,3,2,2084,12196,2,70,141,63,0
312000,3,2,2089,0,61,79,164,19,0
344000,3,2,2097,2966,5,39,84,1,0
450000,3,2,2100,10572,1,74,142,46,0
422500,3,2,2102,7535,23,25,108,62,0
365000,3,2,2106,1950,39,82,137,21,0
352500,3,2,2112,10497,18,70,131,54,0
615000,3,2,2112,2953,21,52,163,13,0
485000,3,2,2128,2542,38,82,134,23,0
600000,3,2,2140,7405,43,83,224,18,1
599900,3,2,2146,7148,44,83,172,48,0
699000,3,2,2155,1781,44,76,171,10,0
279000,3,2,2172,2600,90,76,173,6,0
590000,3,2,2201,7448,40,95,192,53,1
327990,3,2,2204,2940,18,41,74,0,0
705000,3,2,2220,6098,28,72,191,56,0
284857,3,2,2236,1903,47,65,152,1,0
395000,3,2,2269,3232,21,53,91,18,0
261250,3,2,2320,21780,1,53,108,56,0
385000,3,2,2328,0,55,36,92,2,0
359000,3,2,2328,0,55,36,91,0,0
588000,3,2,2370,0,50,37,154,1,0
340000,3,2,2376,51400,0,35,104,31,0
646319,3,2,2392,1568,85,78,237,0,0
772890,3,2,2432,2340,37,71,209,1,0
505000,3,2,2437,1827,57,55,143,5,0
653931,3,2,2439,1271,54,55,142,0,1
305000,3,2,2464,2613,46,24,78,20,0
389000,3,2,2490,2609,13,42,88,2,0
297283,3,2,2500,0,27,32,73,0,0
535000,3,2,2526,2591,22,52,160,5,0
626934,3,2,2539,2979,36,70,158,0,1
395841,3,2,2564,2922,0,56,100,0,1
